Pallet#,Lab,Lab Srt,Label Name,Cntr,Cntr Srt,Container Desc,Pack,Pack Srt,Pack Desc,Var,Variety Desc,Ran,Ran Srt,Ranch Name,Blk,Pick Date,YTD Pick,Batch,Swampers,Crew,Cld Stg,QUALITY CODE,Var Srt,Crw Srt,REC ADDED,REGION,BATCH SEQ
181621,734,TOIC,TST OF INS CH,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,54,,FDIC,16,2024-08-13,46.0,50525,12000000,440,3,2Z,SPK,HP,2024-08-14-08.00.00.060000,S,1
181622,734,TOIC,TST OF INS CH,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,54,,FDIC,16,2024-08-13,80.0,50525,12000000,440,3,2Z,SPK,HP,2024-08-14-08.00.00.060000,S,2
181623,734,TOIC,TST OF INS CH,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,54,,FDIC,16,2024-08-13,80.0,50525,12000000,440,3,2Z,SPK,HP,2024-08-14-08.00.00.060000,S,3
181624,734,TOIC,TST OF INS CH,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,54,,FDIC,16,2024-08-13,80.0,50525,12000000,440,3,2Z,SPK,HP,2024-08-14-08.00.00.060000,S,4
181625,181,WMOC,WM ORG CHEP *,96,CCOR,ORG CLAM RCL,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-13,80.0,38802,10000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.060000,R,1
181626,181,WMOC,WM ORG CHEP *,96,CCOR,ORG CLAM RCL,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-13,80.0,38802,10000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.061000,R,2
181627,181,WMOC,WM ORG CHEP *,96,CCOR,ORG CLAM RCL,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-13,80.0,38802,10000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.061000,R,3
181628,10,SV,SUNVIEW,15,DRUM,PLASTIC DRUM,69,CULL,CULLS,277,SPARKLE/SV28-10,54,,FDIC,4,2024-08-13,7.0,38827,10000000,440,0, Y,SPK,HP,2024-08-14-08.00.00.062000,S,1
181629,178,NPOC,NP ORG CHEP *,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,277,SPARKLE/SV28-10,117, RAN,MERCED AVENUE,8,2024-08-13,80.0,44533,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.062000,R,1
181630,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50564,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.062000,S,1
181631,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50564,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.062000,S,2
181632,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,70.0,50526,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.062000,S,1
181633,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50526,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.062000,S,2
181634,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50526,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.062000,S,3
181635,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50526,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.063000,S,4
181636,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50563,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.063000,S,1
181637,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50563,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.063000,S,2
181638,178,NPOC,NP ORG CHEP *,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,277,SPARKLE/SV28-10,117, RAN,MERCED AVENUE,8,2024-08-13,80.0,44534,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.063000,R,1
181639,13,SVO,SV-ORGANIC*,36,CB24,C/B 16X24,490,WV19,WILD HARVEST,277,SPARKLE/SV28-10,54,,FDIC,12,2024-08-13,80.0,38780,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.063000,S,1
181640,13,SVO,SV-ORGANIC*,36,CB24,C/B 16X24,490,WV19,WILD HARVEST,277,SPARKLE/SV28-10,54,,FDIC,12,2024-08-13,80.0,38780,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.063000,S,2
181641,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,154,B1/2,BULK 1/2,277,SPARKLE/SV28-10,54,,FDIC,16,2024-08-13,1.0,50527,12000000,440,3, Y,SPK,HP,2024-08-14-08.00.00.063000,S,1
181642,13,SVO,SV-ORGANIC*,50,BIN,BIN-BULK ONLY,153,B1/4,BULK 1/4,277,SPARKLE/SV28-10,54,,FDIC,12,2024-08-13,1.0,38781,10000000,440,0, Y,SPK,HP,2024-08-14-08.00.00.064000,S,1
181643,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50529,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.064000,S,1
181644,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,35.0,50529,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.064000,S,2
181645,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,75.0,50528,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.064000,S,1
181646,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,40.0,50528,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.064000,S,2
181647,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,25.0,50566,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.064000,S,1
181648,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,155,B3/4,BULK 3/4,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,1.0,50566,12000000,440,3, Y, SB,HP,2024-08-14-08.00.00.064000,S,2
181649,178,NPOC,NP ORG CHEP *,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,277,SPARKLE/SV28-10,117, RAN,MERCED AVENUE,8,2024-08-13,80.0,44535,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.065000,R,1
181650,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,50.0,50565,12000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.065000,S,1
181651,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,154,B1/2,BULK 1/2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,1.0,50565,12000000,440,3, Y, SB,HP,2024-08-14-08.00.00.065000,S,2
181652,10,SV,SUNVIEW,15,DRUM,PLASTIC DRUM,69,CULL,CULLS,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,8.0,50530,12000000,440,3, Y, SB,HP,2024-08-14-08.00.00.065000,S,1
181653,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,153,B1/4,BULK 1/4,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-13,1.0,50530,12000000,440,3, Y, SB,HP,2024-08-14-08.00.00.065000,S,2
181654,10,SV,SUNVIEW,15,DRUM,PLASTIC DRUM,69,CULL,CULLS,277,SPARKLE/SV28-10,117, RAN,MERCED AVENUE,8,2024-08-13,5.0,38828,10000000,440,0, Y,SPK,HP,2024-08-14-08.00.00.065000,R,1
181655,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,157,SCARLET ROYAL,54,,FDIC,15,2024-08-13,90.0,18626,87000000,440,4,2Z,SCR,HP,2024-08-14-08.00.00.065000,S,1
181656,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,157,SCARLET ROYAL,54,,FDIC,15,2024-08-13,90.0,18626,87000000,440,4,2Z,SCR,HP,2024-08-14-08.00.00.066000,S,2
181657,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,157,SCARLET ROYAL,54,,FDIC,15,2024-08-13,90.0,18626,87000000,440,4,2Z,SCR,HP,2024-08-14-08.00.00.066000,S,3
181658,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,157,SCARLET ROYAL,54,,FDIC,15,2024-08-13,90.0,18626,87000000,440,4,2Z,SCR,HP,2024-08-14-08.00.00.066000,S,4
181659,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,157,SCARLET ROYAL,54,,FDIC,15,2024-08-13,90.0,18626,87000000,440,4,2Z,SCR,HP,2024-08-14-08.00.00.066000,S,5
181660,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,157,SCARLET ROYAL,54,,FDIC,15,2024-08-13,33.0,18626,87000000,440,4,2Z,SCR,HP,2024-08-14-08.00.00.066000,S,6
181661,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,157,SCARLET ROYAL,54,,FDIC,15,2024-08-13,24.0,18626,87000000,440,4,2Z,SCR,HP,2024-08-14-08.00.00.066000,S,7
181662,181,WMOC,WM ORG CHEP *,96,CCOR,ORG CLAM RCL,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-13,80.0,38804,10000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.066000,R,1
181663,181,WMOC,WM ORG CHEP *,96,CCOR,ORG CLAM RCL,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-13,80.0,38804,10000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.067000,R,2
181664,181,WMOC,WM ORG CHEP *,96,CCOR,ORG CLAM RCL,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-13,72.0,38804,10000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.067000,R,3
181665,10,SV,SUNVIEW,15,DRUM,PLASTIC DRUM,69,CULL,CULLS,157,SCARLET ROYAL,54,,FDIC,15,2024-08-13,7.0,18627,87000000,440,0, Y,SCR,HP,2024-08-14-08.00.00.067000,S,1
181666,13,SVO,SV-ORGANIC*,36,CB24,C/B 16X24,490,WV19,WILD HARVEST,277,SPARKLE/SV28-10,54,,FDIC,12,2024-08-13,80.0,38782,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.067000,S,1
181667,13,SVO,SV-ORGANIC*,36,CB24,C/B 16X24,490,WV19,WILD HARVEST,277,SPARKLE/SV28-10,54,,FDIC,12,2024-08-13,64.0,38782,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.067000,S,2
181668,13,SVO,SV-ORGANIC*,50,BIN,BIN-BULK ONLY,156,BFUL,BULK FULL,277,SPARKLE/SV28-10,54,,FDIC,12,2024-08-13,1.0,38783,10000000,440,0, Y,SPK,HP,2024-08-14-08.00.00.067000,S,1
181669,181,WMOC,WM ORG CHEP *,96,CCOR,ORG CLAM RCL,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-13,8.0,38806,10000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.067000,R,1
181670,13,SVO,SV-ORGANIC*,50,BIN,BIN-BULK ONLY,155,B3/4,BULK 3/4,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-13,1.0,38805,10000000,440,0, Y, SB,HP,2024-08-14-08.00.00.067000,R,1
181671,178,NPOC,NP ORG CHEP *,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,277,SPARKLE/SV28-10,117, RAN,MERCED AVENUE,8,2024-08-13,8.0,44536,10000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.068000,R,1
181672,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,241,STELLA BELLA/SV,54,,FDIC,9,2024-08-13,90.0,18628,87000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.068000,S,1
181673,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,241,STELLA BELLA/SV,54,,FDIC,9,2024-08-13,75.0,18628,87000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.068000,S,2
181674,38,SVC,SUNVIEW,36,CB24,C/B 16X24,456,TS18,TARGET SLIDER,241,STELLA BELLA/SV,54,,FDIC,9,2024-08-13,57.0,18628,87000000,440,0,2Z, SB,HP,2024-08-14-08.00.00.068000,S,3
181675,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,153,B1/4,BULK 1/4,241,STELLA BELLA/SV,54,,FDIC,9,2024-08-13,1.0,18629,87000000,440,0, Y, SB,HP,2024-08-14-08.00.00.068000,S,1
181676,192,SWOC,SFWY CHEP OR*,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,37,H,LEVERENZ RANC,5,2024-08-14,80.0,44408,12000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.068000,H,1
181677,192,SWOC,SFWY CHEP OR*,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,37,H,LEVERENZ RANC,5,2024-08-14,80.0,44408,12000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.068000,H,2
181678,38,SVC,SUNVIEW,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,130,BI-COLOR,99,CH,NONE SUCH RAN,99,2024-08-14,80.0,50597,12000000,440,0,2Z,BIC,HP,2024-08-14-08.00.00.069000,,1
181679,38,SVC,SUNVIEW,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,130,BI-COLOR,99,CH,NONE SUCH RAN,99,2024-08-14,80.0,50597,12000000,440,0,2Z,BIC,HP,2024-08-14-08.00.00.069000,,2
181680,248,PBI,PANDOL BROS,36,CB24,C/B 16X24,275,WM19,WALMART ED 19,131,SUMMER ROYAL,99,CH,NONE SUCH RAN,505,2024-08-14,90.0,44537,12000,440,0,2Z,SRO,HP,2024-08-14-08.00.00.069000,,1
181681,248,PBI,PANDOL BROS,36,CB24,C/B 16X24,275,WM19,WALMART ED 19,131,SUMMER ROYAL,99,CH,NONE SUCH RAN,505,2024-08-14,90.0,44537,12000,440,0,2Z,SRO,HP,2024-08-14-08.00.00.069000,,2
181682,192,SWOC,SFWY CHEP OR*,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-14,80.0,44538,12000,440,0,2Z, SB,HP,2024-08-14-08.00.00.070000,R,1
181683,192,SWOC,SFWY CHEP OR*,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-14,80.0,44538,12000,440,0,2Z, SB,HP,2024-08-14-08.00.00.070000,R,2
181684,177,SFC,SIG FARM CHEP,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,157,SCARLET ROYAL,54,,FDIC,15,2024-08-14,80.0,50721,12000,440,0,2Z,SCR,HP,2024-08-14-08.00.00.070000,S,1
181685,177,SFC,SIG FARM CHEP,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,157,SCARLET ROYAL,54,,FDIC,15,2024-08-14,80.0,50721,12000,440,0,2Z,SCR,HP,2024-08-14-08.00.00.070000,S,2
181686,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-14,75.0,50612,12000,440,3,2Z, SB,HP,2024-08-14-08.00.00.070000,S,1
181687,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-14,75.0,50612,12000,440,3,2Z, SB,HP,2024-08-14-08.00.00.070000,S,2
181688,174,WLH,WELCH'S,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-14,75.0,50612,12000,440,3,2Z, SB,HP,2024-08-14-08.00.00.071000,S,3
181689,38,SVC,SUNVIEW,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,130,BI-COLOR,99,CH,NONE SUCH RAN,99,2024-08-14,80.0,50599,12000000,440,0,2Z,BIC,HP,2024-08-14-08.00.00.071000,,1
181690,38,SVC,SUNVIEW,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,130,BI-COLOR,99,CH,NONE SUCH RAN,99,2024-08-14,80.0,50599,12000000,440,0,2Z,BIC,HP,2024-08-14-08.00.00.071000,,2
181691,736,FDLC,FOOD LION CHP,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,130,BI-COLOR,99,CH,NONE SUCH RAN,99,2024-08-14,80.0,50598,12000000,440,0,2Z,BIC,HP,2024-08-14-08.00.00.071000,,1
181692,736,FDLC,FOOD LION CHP,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,130,BI-COLOR,99,CH,NONE SUCH RAN,99,2024-08-14,80.0,50598,12000000,440,0,2Z,BIC,HP,2024-08-14-08.00.00.071000,,2
181693,192,SWOC,SFWY CHEP OR*,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,37,H,LEVERENZ RANC,5,2024-08-14,80.0,44409,12000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.071000,H,1
181694,248,PBI,PANDOL BROS,36,CB24,C/B 16X24,275,WM19,WALMART ED 19,131,SUMMER ROYAL,99,CH,NONE SUCH RAN,505,2024-08-14,90.0,44539,12000000,440,0,2Z,SRO,HP,2024-08-14-08.00.00.071000,,1
181695,248,PBI,PANDOL BROS,36,CB24,C/B 16X24,275,WM19,WALMART ED 19,131,SUMMER ROYAL,99,CH,NONE SUCH RAN,505,2024-08-14,55.0,44540,12000000,440,0,2Z,SRO,HP,2024-08-14-08.00.00.071000,,1
181696,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,153,B1/4,BULK 1/4,131,SUMMER ROYAL,99,CH,NONE SUCH RAN,505,2024-08-14,1.0,44541,12000000,440,0, Y,SRO,HP,2024-08-14-08.00.00.072000,,1
181697,192,SWOC,SFWY CHEP OR*,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-14,80.0,44542,12000,440,0,2Z, SB,HP,2024-08-14-08.00.00.072000,R,1
181698,192,SWOC,SFWY CHEP OR*,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-14,80.0,44542,12000,440,0,2Z, SB,HP,2024-08-14-08.00.00.072000,R,2
181699,192,SWOC,SFWY CHEP OR*,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,37,H,LEVERENZ RANC,5,2024-08-14,80.0,44410,12000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.072000,H,1
181700,734,TOIC,TST OF INS CH,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,54,,FDIC,16,2024-08-14,80.0,50722,12000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.072000,S,1
181701,734,TOIC,TST OF INS CH,36,CB24,C/B 16X24,112,8X2,CLAMSHELL-8X2,277,SPARKLE/SV28-10,54,,FDIC,16,2024-08-14,80.0,50722,12000000,440,0,2Z,SPK,HP,2024-08-14-08.00.00.072000,S,2
181702,10,SV,SUNVIEW,50,BIN,BIN-BULK ONLY,153,B1/4,BULK 1/4,157,SCARLET ROYAL,54,,FDIC,15,2024-08-14,1.0,50723,12000000,440,0, Y,SCR,HP,2024-08-14-08.00.00.072000,S,1
181703,13,SVO,SV-ORGANIC*,50,BIN,BIN-BULK ONLY,153,B1/4,BULK 1/4,277,SPARKLE/SV28-10,37,H,LEVERENZ RANC,5,2024-08-14,1.0,44411,12000000,440,0, Y,SPK,HP,2024-08-14-08.00.00.073000,H,1
181704,13,SVO,SV-ORGANIC*,50,BIN,BIN-BULK ONLY,155,B3/4,BULK 3/4,241,STELLA BELLA/SV,117, RAN,MERCED AVENUE,10,2024-08-14,1.0,44543,12000,440,0, Y, SB,HP,2024-08-14-08.00.00.073000,R,1
181705,7,MDC,MKT DIST CHEP,36,CB24,C/B 16X24,218,10X2,CLAMSHELL10X2,241,STELLA BELLA/SV,54,,FDIC,3,2024-08-14,80.0,50500,12000,440,0,2Z, SB,HP,2024-08-14-08.00.00.073000,S,1
